,Rank,Username,Owner,Followers(millions),Profession/Activity,Country/Continent
0,1,@instagram,Instagram,685,Social media platform,United States
1,2,@cristiano,Cristiano Ronaldo,647,Footballer,Portugal
2,3,@leomessi,Lionel Messi,504,Footballer,Argentina
3,4,@kyliejenner,Kylie Jenner,395,Media personality,United States
4,5,@selenagomez,Selena Gomez,422,Musician and Actress,United States
5,6,@therock,Dwayne Johnson,394,Actor and wrestler,United States
6,7,@arianagrande,Ariana Grande,376,Musician and Actress,United States
7,8,@kimkardashian,Kim Kardashian,358,Media personality,United States
8,9,@beyonce,Beyoncé,313,Musician,United States
9,10,@khloekardashian,Khloé Kardashian,304,Media personality,United States
10,11,@justinbieber,Justin Bieber,294,Musician,Canada
11,12,@kendalljenner,Kendall Jenner,289,Model,United States
12,13,@nike,Nike,302,Sportswear multinational,United States
13,14,@natgeo,National Geographic,280,Magazine,United States
14,15,@taylorswift,Taylor Swift,283,Musician,United States
15,16,@virat.kohli,Virat Kohli,270,Cricketer,India
16,17,@jlo,Jennifer Lopez,249,Musician and Actress,United States
17,18,@kourtneykardash,Kourtney Kardashian,220,Media personality,United States
18,19,@nickiminaj,Nicki Minaj,226,Musician,United States
19,20,@neymarjr,Neymar,227,Footballer,Brazil
20,21,@mileycyrus,Miley Cyrus,213,Musician and Actress,United States
21,22,@katyperry,Katy Perry,205,Musician,United States
22,23,@zendaya,Zendaya,180,Actress and Singer,United States
23,24,@kevinhart4real,Kevin Hart,177,Comedian and Actor,United States
24,25,@iamcardib,Cardi B,164,Musician and Actress,United States
25,26,@ddlovato,Demi Lovato,154,Musician and Actress,United States
26,27,@kingjames,LeBron James,159,Basketball player,United States
27,28,@badgalriri,Rihanna,150,Musician,Barbados
28,29,@realmadrid,Real Madrid CF,171,Football club,Spain
29,30,@ellendegeneres,Ellen DeGeneres,137,Television personality,United States
30,31,@chrisbrownofficial,Chris Brown,144,Musician,United States
31,32,@champagnepapi,Drake,143,Musician,Canada
32,33,@fcbarcelona,FC Barcelona,133,Football club,Spain
33,34,@billieeilish,Billie Eilish,121,Musician,United States
34,35,@championsleague,UEFA Champions League,118,Club football competition,Europe
35,36,@k.mbappe,Kylian Mbappé,122,Footballer,France
36,37,@gal_gadot,Gal Gadot,108,Actress,Israel
37,38,@dualipa,Dua Lipa,87.4,Musician,United Kingdom
38,39,@nasa,NASA,96.9,Space agency,United States
39,40,@lalalalisa_m,Lisa,105,Musician,Thailand
40,41,@vindiesel,Vin Diesel,103,Actor,United States
41,42,@priyankachopra,Priyanka Chopra,92.6,Actress,India
42,43,@khaby00,Khaby Lame,81.3,Social media personality,Italy
43,44,@snoopdogg,Snoop Dogg,88.5,Musician,United States
44,45,@shakira,Shakira,90.8,Musician,Colombia
45,46,@shraddhakapoor,Shraddha Kapoor,94.3,Actress,India
46,47,@davidbeckham,David Beckham,88.3,Former footballer,United Kingdom
47,48,@gigihadid,Gigi Hadid,77.6,Model,United States
48,49,@nba,NBA,89.4,Club basketball competition,United States
49,50,@aliaabhatt,Alia Bhatt,86.2,Actress and Musician,United Kingdom
50,51,@shawnmendes,Shawn Mendes,71.5,Musician,Canada
51,52,@roses_are_rosie,Rosé,82.5,Musician,New Zealand
52,53,@victoriassecret,Victoria's Secret,79,Beauty and Clothing Retailer,United States
53,54,@ronaldinho,Ronaldo de Assis Moreira,76.8,Footballer,Brazil
54,55,@premierleague,Premier League,76.6,Club football competition,United Kingdom
55,56,@433,433,76,Football content,The Netherlands
56,57,@emmawatson,Emma Watson,73.9,Actress,United Kingdom
57,58,@justintimberlake,Justin Timberlake,72.2,Musician,United States
58,59,@willsmith,Will Smith,69.5,Actor,United States
59,60,@marvel,Marvel Entertainment,65.3,Entertainment Company,United States
60,61,@tomholland2013,Tom Holland,64.6,Actor,United Kingdom
61,62,@manchesterunited,Manchester United,64.4,Football Club,United Kingdom
62,63,@maluma,Maluma,64.3,Musician,Colombia
63,64,@sergioramos,Sergio Ramos,64.8,Footballer,Spain
64,64,@anushkasharma,Anushka Sharma,68.9,Actress,India
64,65,@karolg,Karol G,70.4,Musician,Colombia
65,66,@marcelotwelve,Marcelo Vieira,67.8,Footballer,Brazil
66,67,@georginagio,Georgina Rodriguez,64.9,Influencer,Argentina
67,68,@mrbeast,MrBeast,64.6,Youtuber,United States
68,69,@anitta,Anitta,64.3,Musician,Brazil
69,70,@milliebobbybrown,Millie Bobby Brown,63.4,Actress,United States
70,71,@psg,Paris Saint-Germain,62.9,Football Club,France
71,72,@paulpogba,Paul Labile Pogba,62.7,Footballer,France
72,73,@zara,Zara,62.2,Fashion Retailer,Spain
73,74,@zacefron,Zac Efron,61,Actor,United States
74,75,@leonardodicaprio,Leonardo DiCaprio,60.8,Actor,United States
75,76,@bellahadid,Bella Hadid,61.4,Model,United States
76,77,@juventus,Juventus,60.2,Football Club,Italy
77,78,@chanelofficial,Chanel,60.1,Luxury Fashion House,France
78,79,@chrishemsworth,Chris Hemsworth,58.7,Actor,Australia
79,80,@adele,Adele,58.4,Musician,United Kingdom
80,81,@travisscott,Travis Scott,58.7,Musician,United States
81,82,@kritisanon,Kriti Sanon,58.5,Actress,India
82,83,@jokowi,Joko Widodo,59.2,Politician,Indonesia
83,84,@dishapatani,Disha Patani,61.5,Actress,India
84,85,@camila_cabello,Camilla Cabello,64.5,Musician,United States
85,86,@narendramodi,Narendra Modi,92.2,Politician,India
86,87,@robertdowneyjr,Robert Downey Jr.,57.4,Actor,United States
87,88,@ladygaga,Lady Gaga,57.6,Musician and Actress,United States
88,89,@jbalvin,J Balvin,50.2,Musician,Colombia
89,90,@michelleobama,Michelle Obama,56.8,Politician,United States
90,91,@jamesrodriguez10,James Rodriguez,52.7,Footballer,Colombia
91,92,@harrystyles,Harry Styles,48.2,Musician,United Kingdom
92,93,@vanessahudgens,Vanessa Hudgens,50.8,Actress and Singer,United States
93,94,@zayn,Zayn Malik,54,Musician,United Kingdom
94,95,@theweeknd,Abel,76.1,Musician,Canada
95,96,@jenniferaniston,Jennifer Aniston,44.7,Actress,United States
96,97,@mercedesbenz,Mercedes-Benz,39.1,Vehicle Brand,Germany
97,98,@barackobama,Barack Obama,36.2,Politician,United States
98,99,@disney,Disney,40.4,Entertainment,United States
99,100,@mancity,Manchester City,55,Football Club,United Kingdom
100,101,@chelseafc,Chelsea FC,42.6,Football Club,United Kingdom
101,102,@prattprattpratt,Chris Pratt,45.2,Actor,United States
102,103,@liverpoolfc,Liverpool Football Club,46.4,Football Club,United Kingdom
103,104,@teddysphotos,Ed Sheeran,48.4,Musician,United Kingdom
104,105,@hm,H&M,38.5,Fashion Retailer,Sweden
105,106,@louisvuitton,Louis Vuitton,55.7,Luxury Fashion House,France
106,107,@krisjenner,Kris Jenner,51.6,Media personality,United States
107,108,@gucci,Gucci,52.3,Luxury Fashion House,Italy
108,109,@vancityreynolds,Ryan Reynolds,53.7,Actor,United States
109,110,@voguemagazine,Vogue,50.3,Magazine,United States
110,111,@blakelively,Blake Lively,45.3,Actress,United States


